No Urut;Nama Barang;Merk/Type;Kategori;Tahun Perolehan;Sumber Dana;Jumlah Unit; Harga Satuan Rp ; Nilai              Rp ;UE Thn;Tarif %; Akumulasi ; Nilai Buku Rp ; PJ ;;;
178;Kamera ;Kodak C813 Silver;Elektronik Multimedia;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
179;Printer;HP Laserjet 1000;Komputer;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
180;Perangkat Sound System;;Elektronik Multimedia;2008;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
181;Satu perangkat komputer;AMD Athlon ;Komputer;2009;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
182;Printer ;Laser Jet P1006;Komputer;2009;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
183;Jam digital;;Elektronik Multimedia;2009;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
184;Komputer untuk keuangan;;Komputer;2009;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
185;Komputer ;;Komputer;2009;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
186;Komputer;;Komputer;2009;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
187;Vacum Cleaner;;Elektronik Multimedia;2009;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
188;Komputer;;Komputer;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
189;Laptop Sekpri;;Komputer;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
190;Kamera CCTV 1 unit;;Elektronik Multimedia;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
191;Kamera CCTV 1 unit;;Elektronik Multimedia;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
192;Infocus;;Elektronik Multimedia;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
193;Power amplifier;;Elektronik Multimedia;2010;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
194;Printer (Keuangan);EPSON LX 300;Komputer;2011;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
195;Komputer (DPM);;Komputer;2011;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
196;Monitor (Keuangan);;Komputer;2011;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
197;Monitor ;"LG LED TV 15,6 """;Komputer;2012;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
198;Komputer;;Komputer;2012;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
199;Printer;;Komputer;2012;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
200;Money Counter;;Peralatan Lainnya;2012;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
201;Mesin Babat Rumput;;Peralatan Lainnya;2012;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
202;Meja Meeting;;Furniture;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
203;Monitor;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
204;Hard Disk;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
205;Hard Disk;;Komputer;2013;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
206;Laptop;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
207;Monitor;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
208;Scanner;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
209;Komputer (+upgrade);;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
210;Walky Talky;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
211;Timer Waktu Iqamah;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
212;Infokus + Screen;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
213;Telepon Selular;Blackberry;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
214;Lemari Es;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
215;Infokus;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
216;CCTV;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
217;Digital Clock;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
218;Printer;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
219;Software ;Zahir Accounting;Peralatan Lainnya;2013;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
220;Printer;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; BMK ;;;
221;Laptop;BenQ;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; BMK ;;;
222;Camera;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; BMK ;;;
223;Hard Disk;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; BMK ;;;
224;Komputer;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; BP2M ;;;
225;Kamera;;Elektronik Multimedia;2013;YPM;1;;;4;;#REF!;#REF!; LPP ;;;
226;Komputer;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; LPP ;;;
227;Printer;;Komputer;2013;YPM;1;;;4;;#REF!;#REF!; LPP ;;;
228;Meja Kerja dan Kursi;;Furniture;2015;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
229;Komputer Desain Grafis;;Komputer;2015;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
230;Komputer;;Komputer;2015;YPM;1;;;4;;#REF!;#REF!; KBIH ;;;
231;Komputer;;Komputer;2015;YPM;1;;;4;;#REF!;#REF!; LPP ;;;
232;Projector;Epson;Elektronik Multimedia;2015;YPM;1;;;4;;#REF!;#REF!; KBIH ;;;
232;Projector;;Elektronik Multimedia;2015;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
233;Komputer;;Komputer;2016;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
234;Infocus;;Elektronik Multimedia;2016;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
235;Mesin Polisher;;Peralatan Lainnya;2016;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
;;;;;;;; - ;;;#REF!;#REF!;;;;
;;;;;;;;;;;;;;;;
